author,createdAt,current,currentPage,done,genre,id,name,objectId,shelfed,shelved,total,totalpages,updatedAt,user/__type,user/className,user/objectId,username
,2013-09-27T19:30:56.791Z,126,0,false,Sci-Fi,,The Windup Girl,0Ye95uyj3d,false,false,505,505,2014-05-16T00:41:44.677Z,Pointer,_User,XDUTBwEw3h,Biggs
Robert A. Heinlein,2013-03-11T03:53:08.888Z,143,143,true,Sci-Fi,,Double Star,0dFP1uihif,,,143,143,2013-10-29T00:06:47.674Z,Pointer,_User,XDUTBwEw3h,Biggs
Jesse James Garrett,2013-02-05T22:56:46.681Z,163,163,true,Web Development,,The Elements of User Experience,1of4EhXrCe,false,false,163,163,2013-11-17T21:59:50.843Z,Pointer,_User,XDUTBwEw3h,Biggs
Michael Chabon,2013-03-27T21:56:16.128Z,0,0,,Mystery,,The Yiddish Policemen's Union,29KyrFVGiW,false,false,411,411,2013-11-17T21:59:26.593Z,Pointer,_User,XDUTBwEw3h,Biggs
Drew Magary,2013-03-24T21:36:52.053Z,415,415,true,Sci-Fi,,The End Specialist,3oEUxGHf5s,false,false,415,415,2013-11-17T21:59:34.137Z,Pointer,_User,XDUTBwEw3h,Biggs
,2014-08-16T16:25:29.441Z,408,,true,Sci-Fi,,Among Others,53WsKpMeby,,false,408,,2014-09-30T08:25:36.195Z,Pointer,_User,XDUTBwEw3h,Biggs
,2015-06-11T11:25:05.601Z,430,,true,Sci-Fi,,The Lost Fleet: Beyond The Frontier - Dreadnaught,5IUxg2BnXZ,,false,430,,2015-07-01T22:00:07.045Z,Pointer,_User,XDUTBwEw3h,Biggs
,2015-07-01T22:03:10.948Z,461,,true,Sci-Fi,,The Lost Fleet: Beyond The Frontier - Invincible,5JW5Jz4BXx,,false,461,,2015-07-17T15:33:42.863Z,Pointer,_User,XDUTBwEw3h,Biggs
,2013-12-26T00:23:37.625Z,142,,false,Philosophy,,"Gödel, Escher, Bach: an Eternal Golden Braid",5XkegrQEwb,,false,742,,2013-12-31T14:18:49.730Z,Pointer,_User,ZrQZP9PD53,steinar
,2016-06-04T15:06:52.882Z,27,,false,Self Help,,The Artist's Way,5ke8t2tDdd,,false,204,,2016-10-23T07:50:24.339Z,Pointer,_User,XDUTBwEw3h,Biggs
,2016-07-21T09:52:16.133Z,252,,true,Autobiography ,,The Book of Drugs,6KyMdXDhoK,,false,252,,2016-08-08T10:54:05.907Z,Pointer,_User,XDUTBwEw3h,Biggs
,2013-05-19T09:10:46.070Z,,1,,Self Help,,Sex,7NXtO1HAao,false,false,,,2013-11-17T21:58:47.359Z,,,,Lol
Jack Campbell,2013-03-27T21:52:42.860Z,358,358,true,Sci-Fi,,The Lost Fleet - Courageous,7PbNWsQcXf,false,false,358,358,2013-11-17T21:59:31.832Z,Pointer,_User,XDUTBwEw3h,Biggs
,2016-03-16T15:43:17.463Z,113,,true,Sci-Fi,,Green Mars,8EniUb9dfW,,false,113,,2016-08-08T10:54:21.314Z,Pointer,_User,XDUTBwEw3h,Biggs
,2015-05-08T09:02:00.587Z,52,,false,Music,,The AB guide to music theory Part 1. ,8TF8hK805i,,false,103,,2016-02-14T18:55:39.784Z,Pointer,_User,XDUTBwEw3h,Biggs
,2013-11-18T09:22:38.989Z,1,,false,Business,,My test book,8UqlVTSj7b,,false,150,,2013-11-18T09:23:31.888Z,Pointer,_User,uo5w0E4eEB,stone
Clifford D. Simak,2013-02-05T23:20:55.449Z,189,189,true,Sci-Fi,,Way Station,8WSJbQgLSP,false,false,189,189,2013-11-17T21:59:46.984Z,Pointer,_User,XDUTBwEw3h,Biggs
John Ralston Saul,2013-02-05T23:22:13.333Z,50,50,,Philosophy,,The Unconscious Civilization,93NxVMYkdr,false,false,195,195,2013-11-17T21:59:44.573Z,Pointer,_User,XDUTBwEw3h,Biggs
Stoyan Stefanov,2013-02-05T22:41:40.702Z,207,207,true,Web Development,,JavaScript Patterns,9UxFfojqUj,false,false,207,207,2013-11-17T21:59:52.683Z,Pointer,_User,XDUTBwEw3h,Biggs
,2015-02-19T01:02:05.170Z,173,,false,Programming,,Agile Software Development,9tLbbcF4IH,,false,524,,2015-02-19T01:03:23.794Z,Pointer,_User,ZrQZP9PD53,steinar
,2013-05-09T23:10:14.668Z,248,248,true,UX,,The Mobile Frontier,Ac4ft1nYAP,false,false,248,248,2013-11-17T22:33:58.429Z,Pointer,_User,XDUTBwEw3h,Biggs
,2015-08-11T17:05:18.463Z,245,,true,Sci-Fi,,The Left Hand Of Darkness ,BYyfD9XYq6,,false,245,,2015-11-01T09:40:53.267Z,Pointer,_User,XDUTBwEw3h,Biggs
,2016-09-30T12:33:25.684Z,467,,true,Sci-Fi,,The Lost Stars: Perilous Shield,BrQFiK8OaB,,false,467,,2016-10-25T17:55:40.683Z,Pointer,_User,XDUTBwEw3h,Biggs
Nobody,2013-04-07T14:46:27.338Z,,60,,Business,,Test001,C76GjEgIwD,false,false,,240,2013-11-17T21:59:10.512Z,,,,Test001
,2016-12-03T13:34:37.215Z,0,,false,Sci-Fi,,The Hydrogen Sonata ,CMNu2baYj7,,false,605,,2016-12-03T13:34:37.634Z,Pointer,_User,XDUTBwEw3h,Biggs
,2016-09-17T16:37:21.384Z,0,,false,Spirituality ,,The Book Of Five Rings,DM5QdtY267,,false,108,,2016-09-17T16:37:21.960Z,Pointer,_User,XDUTBwEw3h,Biggs
Leon Sterling and Ehud Shapiro,2013-02-10T22:10:01.412Z,,4,,Programming,,The Art of Prolog,F2m3DXSfiO,false,false,,227,2013-11-17T21:59:42.350Z,,,,nisbus
,2015-08-22T19:50:11.545Z,264,,true,Music,,Music 4.0,FBEOFZXxar,,false,264,,2015-10-22T01:07:43.863Z,Pointer,_User,XDUTBwEw3h,Biggs
Jeremy Keith,2013-02-05T22:58:53.590Z,51,51,,Web Development,,Bulletproof Ajax,Fhqf9kezqS,true,true,196,196,2013-11-17T21:59:48.949Z,Pointer,_User,XDUTBwEw3h,Biggs
,2013-06-02T21:36:00.541Z,142,142,false,Programming,,Practices of an Agile Developer,GK9kJzykmE,false,true,178,178,2015-02-05T00:50:26.635Z,Pointer,_User,ZrQZP9PD53,steinar
