book/__type,book/className,book/objectId,createdAt,firstname,lastname,objectId,updatedAt
Pointer,Book,kxgv4bPRzw,2013-11-17T22:08:12.430Z,Lyza Danger,Gardner,04mWNFCMaw,2013-11-17T22:08:12.430Z
Pointer,Book,lx0daQ5CLU,2016-09-08T11:45:26.131Z,Jack,Campbell,0D7oAkXx3l,2016-09-11T07:16:30.685Z
Pointer,Book,NGM0Po33a9,2013-11-17T22:10:44.227Z,Scott,Jehl,3CbQQ8S8QL,2014-03-22T08:25:48.426Z
Pointer,Book,VOzMQJ3WQW,2013-11-17T22:15:32.954Z,Philip K.,Dick,50lbTMostC,2013-11-17T22:15:32.954Z
Pointer,Book,dKMzvt4Vq3,2013-11-17T22:31:55.655Z,Neil,Gaiman,5Ex99cm9h8,2013-11-17T22:31:55.655Z
Pointer,Book,QqbWrAFs9E,2014-09-21T12:01:32.502Z,Alfred,Bester,5V0xoalIau,2014-09-21T12:01:32.502Z
Pointer,Book,Iixe4ksc4d,2016-12-03T09:02:30.292Z,Ted,Kosmatka,5yfk4ChOJx,2016-12-03T09:02:30.292Z
Pointer,Book,x6ZKKzKGMI,2016-09-16T19:17:10.952Z,Jack,Campbell,6udUxYhULU,2016-09-16T19:17:10.952Z
Pointer,Book,sce1bCPaSM,2013-11-17T22:12:07.231Z,Peter F.,Hamilton,7oZWOm4kkv,2013-11-17T22:12:07.231Z
Pointer,Book,5XkegrQEwb,2013-12-26T00:23:38.770Z,Douglas R.,Hofstadter,BcpqEHaF8V,2013-12-26T00:23:38.770Z
Pointer,Book,CMNu2baYj7,2016-12-03T13:34:38.016Z,Iain M,Banks,BlY1sxjEvp,2016-12-03T13:34:38.016Z
Pointer,Book,BYyfD9XYq6,2015-08-11T17:05:19.630Z,Ursula ,Le Guin,C0lPmywny4,2015-08-11T17:05:19.630Z
Pointer,Book,sPU20VDeG7,2016-08-31T10:00:37.467Z,Iain,Banks,CCkxPAQR3h,2016-08-31T10:00:37.467Z
Pointer,Book,yDUtJ3puag,2015-04-25T12:34:43.293Z,David,Byrne,DkbkzHH8of,2015-04-25T12:34:43.293Z
Pointer,Book,h8vW1xEFqx,2016-02-05T00:28:25.838Z,Ebenezer ,Prout ,EZzShmY3n9,2016-02-05T00:28:25.838Z
Pointer,Book,uXlOsnO30l,2015-08-12T17:02:38.725Z,Roy ,Shuker ,FXXZlDpH3B,2015-08-12T17:02:38.725Z
Pointer,Book,NGM0Po33a9,2013-11-17T22:10:44.262Z,Patty,Toland,FhAKe6zFOi,2014-03-22T08:25:47.628Z
Pointer,Book,Ac4ft1nYAP,2013-11-17T22:33:58.476Z,Rachel,Hinman,GWoaEAjOhT,2013-11-17T22:33:58.476Z
Pointer,Book,NGM0Po33a9,2013-11-17T22:10:45.526Z,Todd,Parker,GaGRLhQYXV,2014-03-22T08:25:48.053Z
Pointer,Book,9tLbbcF4IH,2015-02-19T01:02:06.324Z,Robert,Martin,GjOhip7FWg,2015-02-19T01:03:23.775Z
Pointer,Book,DM5QdtY267,2016-09-17T16:37:22.872Z,Miyamoto,Musashi ,K01zPoIkzI,2016-09-17T16:37:22.872Z
Pointer,Book,siO42YRYc3,2016-08-15T15:45:38.934Z,Geoff,Nicholson,KLjUy9H264,2016-08-15T15:45:38.934Z
Pointer,Book,8UqlVTSj7b,2013-11-18T09:22:39.552Z,Steinar,Gislason,KUHW0p3Yt9,2013-11-18T09:22:39.552Z
Pointer,Book,N2ZzSGFANN,2013-11-26T22:29:27.948Z,Smashing ,Magazine,Loeey5L0Hx,2013-11-26T22:29:28.528Z
Pointer,Book,NBz8wReDOf,2015-03-11T23:38:06.181Z,John,Cleese,NsiOjweTM7,2015-03-11T23:38:06.181Z
Pointer,Book,5ke8t2tDdd,2016-06-04T15:06:53.481Z,Julia ,Cameron,OgiT8aphk7,2016-06-04T15:06:53.481Z
Pointer,Book,dwmHlZL09k,2016-04-04T11:26:48.394Z,Pepe,Vallejo,POA7BkO8uj,2016-04-04T11:26:48.394Z
Pointer,Book,YrWXFPbTEm,2016-03-16T15:44:13.875Z,Robert A.,Heinlein,Q61b5deKXU,2016-03-16T15:44:13.875Z
Pointer,Book,8EniUb9dfW,2016-03-16T15:43:18.450Z,Kim Stanley,Robinson,Q7gKUDBrx4,2016-03-16T15:43:18.450Z
